Date,5Yr,7Yr,10Yr,20Yr,30Yr,Date_WTI,WTI_Closing_Price
2003-04-17,1.41,1.9,2.22,N/A,N/A,2003-04-17,30.549999237060547
2003-04-21,1.46,1.95,2.25,N/A,N/A,2003-04-21,30.8700008392334
2003-04-22,1.5,1.97,2.27,N/A,N/A,2003-04-22,29.90999984741211
2003-04-23,1.48,1.97,2.26,N/A,N/A,2003-04-23,26.64999961853028
2003-04-24,1.46,1.92,2.22,N/A,N/A,2003-04-24,26.63999938964844
2003-04-25,1.42,1.9,2.18,N/A,N/A,2003-04-25,26.26000022888184
2003-04-28,1.42,1.87,2.16,N/A,N/A,2003-04-28,25.489999771118164
2003-04-29,1.47,1.93,2.22,N/A,N/A,2003-04-29,25.239999771118164
2003-04-30,1.4,1.88,2.16,N/A,N/A,2003-04-30,25.799999237060547
2003-05-01,1.52,1.82,2.13,N/A,N/A,2003-05-01,26.030000686645508
2003-05-02,1.56,1.86,2.19,N/A,N/A,2003-05-02,25.670000076293945
2003-05-05,1.37,1.86,2.19,N/A,N/A,2003-05-05,26.489999771118164
2003-05-06,1.34,1.82,2.17,N/A,N/A,2003-05-06,25.71999931335449
2003-05-07,1.26,1.74,2.02,N/A,N/A,2003-05-07,26.229999542236328
2003-05-08,1.28,1.67,2.0,N/A,N/A,2003-05-08,26.979999542236328
2003-05-09,1.21,1.7,2.0,N/A,N/A,2003-05-09,27.71999931335449
2003-05-12,1.21,1.68,1.96,N/A,N/A,2003-05-12,27.350000381469727
2003-05-13,1.19,1.67,1.94,N/A,N/A,2003-05-13,28.5
2003-05-14,1.15,1.58,1.87,N/A,N/A,2003-05-14,29.170000076293945
2003-05-15,1.13,1.57,1.86,N/A,N/A,2003-05-15,28.739999771118164
2003-05-16,1.12,1.55,1.84,N/A,N/A,2003-05-16,29.13999938964844
2003-05-19,1.07,1.57,1.85,N/A,N/A,2003-05-19,28.82999992370605
2003-05-20,0.99,1.44,1.73,N/A,N/A,2003-05-20,29.280000686645508
2003-05-21,1.03,1.44,1.73,N/A,N/A,2003-05-21,29.030000686645508
2003-05-22,1.02,1.45,1.71,N/A,N/A,2003-05-22,28.850000381469727
2003-05-23,1.02,1.43,1.72,N/A,N/A,2003-05-23,29.15999984741211
2003-05-27,1.09,1.51,1.8,N/A,N/A,2003-05-27,29.350000381469727
2003-05-28,1.12,1.55,1.83,N/A,N/A,2003-05-28,28.57999992370605
2003-05-29,1.04,1.47,1.76,N/A,N/A,2003-05-29,29.100000381469727
2003-05-30,1.04,1.47,1.77,N/A,N/A,2003-05-30,29.559999465942383
2003-06-02,1.08,1.51,1.83,N/A,N/A,2003-06-02,30.709999084472656
2003-06-03,1.0,1.42,1.76,N/A,N/A,2003-06-03,30.670000076293945
2003-06-04,0.94,1.41,1.73,N/A,N/A,2003-06-04,30.049999237060547
2003-06-05,0.94,1.4,1.75,N/A,N/A,2003-06-05,30.739999771118164
2003-06-06,0.96,1.41,1.76,N/A,N/A,2003-06-06,31.280000686645508
2003-06-09,0.88,1.33,1.68,N/A,N/A,2003-06-09,31.450000762939453
2003-06-10,0.81,1.26,1.61,N/A,N/A,2003-06-10,31.729999542236328
2003-06-11,0.8,1.26,1.62,N/A,N/A,2003-06-11,32.36000061035156
2003-06-12,0.78,1.24,1.57,N/A,N/A,2003-06-12,31.51000022888184
2003-06-13,0.71,1.17,1.51,N/A,N/A,2003-06-13,30.64999961853028
2003-06-16,0.79,1.24,1.59,N/A,N/A,2003-06-16,31.18000030517578
2003-06-17,0.91,1.34,1.7,N/A,N/A,2003-06-17,31.06999969482422
2003-06-18,0.98,1.44,1.79,N/A,N/A,2003-06-18,30.36000061035156
2003-06-19,0.89,1.39,1.74,N/A,N/A,2003-06-19,29.959999084472656
2003-06-20,0.92,1.41,1.77,N/A,N/A,2003-06-20,30.81999969482422
2003-06-23,0.88,1.36,1.71,N/A,N/A,2003-06-23,29.170000076293945
2003-06-24,0.84,1.33,1.68,N/A,N/A,2003-06-24,28.780000686645508
2003-06-25,0.87,1.31,1.71,N/A,N/A,2003-06-25,29.950000762939453
2003-06-26,1.02,1.5,1.85,N/A,N/A,2003-06-26,29.01000022888184
2003-06-27,1.04,1.54,1.9,N/A,N/A,2003-06-27,29.270000457763672
2003-06-30,1.01,1.52,1.9,N/A,N/A,2003-06-30,30.190000534057617
2003-07-01,1.03,1.52,1.92,N/A,N/A,2003-07-01,30.39999961853028
2003-07-02,1.04,1.53,1.96,N/A,N/A,2003-07-02,30.14999961853028
2003-07-03,1.11,1.6,2.09,N/A,N/A,2003-07-03,30.420000076293945
2003-07-07,1.19,1.68,2.14,N/A,N/A,2003-07-07,30.1299991607666
2003-07-08,1.24,1.74,2.12,N/A,N/A,2003-07-08,30.21999931335449
2003-07-09,1.17,1.66,2.0,N/A,N/A,2003-07-09,30.8799991607666
2003-07-10,1.14,1.61,1.94,N/A,N/A,2003-07-10,31.059999465942383
2003-07-11,1.1,1.58,1.88,N/A,N/A,2003-07-11,31.280000686645508
2003-07-14,1.13,1.58,1.92,N/A,N/A,2003-07-14,31.270000457763672
2003-07-15,1.28,1.74,2.06,N/A,N/A,2003-07-15,31.6200008392334
2003-07-16,1.31,1.77,2.08,N/A,N/A,2003-07-16,31.049999237060547
2003-07-17,1.31,1.76,2.05,N/A,N/A,2003-07-17,31.40999984741211
2003-07-18,1.28,1.72,2.04,N/A,N/A,2003-07-18,31.959999084472656
2003-07-21,1.47,1.89,2.21,N/A,N/A,2003-07-21,31.780000686645508
2003-07-22,1.48,1.89,2.19,N/A,N/A,2003-07-22,30.190000534057617
2003-07-23,1.37,1.8,2.11,N/A,N/A,2003-07-23,29.670000076293945
2003-07-24,1.41,1.84,2.18,N/A,N/A,2003-07-24,30.21999931335449
2003-07-25,1.34,1.81,2.14,N/A,N/A,2003-07-25,30.170000076293945
2003-07-28,1.49,1.93,2.27,N/A,N/A,2003-07-28,30.11000061035156
2003-07-29,1.63,2.05,2.38,N/A,N/A,2003-07-29,30.239999771118164
2003-07-30,1.54,1.98,2.32,N/A,N/A,2003-07-30,30.68000030517578
2003-07-31,1.63,2.09,2.41,N/A,N/A,2003-07-31,30.540000915527344
2003-08-01,1.62,2.11,2.4,N/A,N/A,2003-08-01,32.310001373291016
2003-08-04,1.52,1.99,2.34,N/A,N/A,2003-08-04,31.84000015258789
2003-08-05,1.62,2.11,2.43,N/A,N/A,2003-08-05,32.220001220703125
2003-08-06,1.53,1.99,2.34,N/A,N/A,2003-08-06,31.700000762939453
2003-08-07,1.41,1.96,2.29,N/A,N/A,2003-08-07,32.38999938964844
2003-08-08,1.43,1.93,2.27,N/A,N/A,2003-08-08,32.18000030517578
2003-08-11,1.44,1.93,2.31,N/A,N/A,2003-08-11,32.0099983215332
2003-08-12,1.42,1.93,2.29,N/A,N/A,2003-08-12,31.920000076293945
2003-08-13,1.55,2.06,2.41,N/A,N/A,2003-08-13,30.780000686645508
2003-08-14,1.53,2.03,2.38,N/A,N/A,2003-08-14,31.09000015258789
2003-08-15,1.5,2.03,2.36,N/A,N/A,2003-08-15,31.049999237060547
2003-08-18,1.49,1.99,2.33,N/A,N/A,2003-08-18,30.88999938964844
2003-08-19,1.4,1.89,2.24,N/A,N/A,2003-08-19,30.700000762939453
2003-08-20,1.41,1.9,2.26,N/A,N/A,2003-08-20,30.950000762939453
2003-08-21,1.45,1.92,2.29,N/A,N/A,2003-08-21,31.8799991607666
2003-08-22,1.42,1.9,2.26,N/A,N/A,2003-08-22,31.84000015258789
2003-08-25,1.49,1.96,2.31,N/A,N/A,2003-08-25,31.559999465942383
2003-08-26,1.47,1.95,2.28,N/A,N/A,2003-08-26,31.950000762939453
2003-08-27,1.54,2.0,2.36,N/A,N/A,2003-08-27,31.209999084472656
2003-08-28,1.44,1.94,2.29,N/A,N/A,2003-08-28,31.5
2003-08-29,1.47,1.94,2.29,N/A,N/A,2003-08-29,31.56999969482422
2003-09-02,1.63,2.07,2.43,N/A,N/A,2003-09-02,29.40999984741211
2003-09-03,1.58,2.06,2.4,N/A,N/A,2003-09-03,29.489999771118164
2003-09-04,1.49,1.98,2.32,N/A,N/A,2003-09-04,28.979999542236328
2003-09-05,1.31,1.8,2.17,N/A,N/A,2003-09-05,28.8799991607666
2003-09-08,1.38,1.86,2.24,N/A,N/A,2003-09-08,28.850000381469727
2003-09-09,1.34,1.84,2.21,N/A,N/A,2003-09-09,29.18000030517578
2003-09-10,1.28,1.8,2.18,N/A,N/A,2003-09-10,29.350000381469727
2003-09-11,1.32,1.84,2.22,N/A,N/A,2003-09-11,28.81999969482422
2003-09-12,1.27,1.78,2.18,N/A,N/A,2003-09-12,28.270000457763672
2003-09-15,1.25,1.78,2.18,N/A,N/A,2003-09-15,28.13999938964844
2003-09-16,1.32,1.84,2.26,N/A,N/A,2003-09-16,27.559999465942383
2003-09-17,1.29,1.79,2.2,N/A,N/A,2003-09-17,27.030000686645508
2003-09-18,1.3,1.82,2.18,N/A,N/A,2003-09-18,27.170000076293945
2003-09-19,1.3,1.79,2.17,N/A,N/A,2003-09-19,27.030000686645508
2003-09-22,1.32,1.82,2.21,N/A,N/A,2003-09-22,26.959999084472656
2003-09-23,1.29,1.8,2.19,N/A,N/A,2003-09-23,27.1299991607666
2003-09-24,1.21,1.72,2.13,N/A,N/A,2003-09-24,28.239999771118164
2003-09-25,1.14,1.67,2.07,N/A,N/A,2003-09-25,28.290000915527344
2003-09-26,1.04,1.57,1.99,N/A,N/A,2003-09-26,28.15999984741211
2003-09-29,1.07,1.6,2.03,N/A,N/A,2003-09-29,28.39999961853028
2003-09-30,0.99,1.53,1.95,N/A,N/A,2003-09-30,29.200000762939453
2003-10-01,1.0,1.53,1.96,N/A,N/A,2003-10-01,29.38999938964844
2003-10-02,1.07,1.6,2.01,N/A,N/A,2003-10-02,29.84000015258789
2003-10-03,1.23,1.73,2.16,N/A,N/A,2003-10-03,30.39999961853028
2003-10-06,1.19,1.69,2.11,N/A,N/A,2003-10-06,30.46999931335449
2003-10-07,1.24,1.75,2.17,N/A,N/A,2003-10-07,30.40999984741211
2003-10-08,1.25,1.77,2.18,N/A,N/A,2003-10-08,29.809999465942383
2003-10-09,1.25,1.77,2.2,N/A,N/A,2003-10-09,31.01000022888184
2003-10-10,1.18,1.69,2.14,N/A,N/A,2003-10-10,31.96999931335449
2003-10-14,1.23,1.74,2.18,N/A,N/A,2003-10-13,31.950000762939453
2003-10-15,1.28,1.8,2.2,N/A,N/A,2003-10-14,31.81999969482422
2003-10-16,1.32,1.84,2.21,N/A,N/A,2003-10-15,31.770000457763672
2003-10-17,1.26,1.75,2.14,N/A,N/A,2003-10-16,31.540000915527344
2003-10-20,1.27,1.74,2.13,N/A,N/A,2003-10-17,30.68000030517578
2003-10-21,1.27,1.74,2.12,N/A,N/A,2003-10-20,30.350000381469727
2003-10-22,1.24,1.68,2.07,N/A,N/A,2003-10-21,30.18000030517578
2003-10-23,1.23,1.67,2.03,N/A,N/A,2003-10-22,29.920000076293945
2003-10-24,1.14,1.56,1.92,N/A,N/A,2003-10-23,30.299999237060547
2003-10-27,1.19,1.59,1.96,N/A,N/A,2003-10-24,30.15999984741211
2003-10-28,1.11,1.53,1.91,N/A,N/A,2003-10-27,29.920000076293945
2003-10-29,1.17,1.59,1.98,N/A,N/A,2003-10-28,29.559999465942383
2003-10-30,1.24,1.64,1.97,N/A,N/A,2003-10-29,28.90999984741211
2003-10-31,1.21,1.59,1.93,N/A,N/A,2003-10-30,28.46999931335449
2003-11-03,1.27,1.64,1.97,N/A,N/A,2003-10-31,29.11000061035156
2003-11-04,1.22,1.6,1.93,N/A,N/A,2003-11-03,28.89999961853028
2003-11-05,1.34,1.7,2.02,N/A,N/A,2003-11-04,28.75
2003-11-06,1.41,1.76,2.08,N/A,N/A,2003-11-05,30.299999237060547
2003-11-07,1.42,1.78,2.1,N/A,N/A,2003-11-06,30.26000022888184
2003-11-10,1.4,1.77,2.09,N/A,N/A,2003-11-07,30.850000381469727
2003-11-12,1.36,1.73,2.04,N/A,N/A,2003-11-10,30.8799991607666
2003-11-13,1.24,1.61,1.94,N/A,N/A,2003-11-11,31.14999961853028
2003-11-14,1.17,1.53,1.87,N/A,N/A,2003-11-12,31.32999992370605
2003-11-17,1.12,1.49,1.82,N/A,N/A,2003-11-13,31.89999961853028
2003-11-18,1.14,1.5,1.83,N/A,N/A,2003-11-14,32.369998931884766
2003-11-19,1.22,1.58,1.91,N/A,N/A,2003-11-17,31.729999542236328
2003-11-20,1.23,1.58,1.92,N/A,N/A,2003-11-18,33.279998779296875
2003-11-21,1.23,1.61,1.93,N/A,N/A,2003-11-19,32.91999816894531
2003-11-24,1.26,1.65,1.99,N/A,N/A,2003-11-20,32.86000061035156
2003-11-25,1.21,1.6,1.92,N/A,N/A,2003-11-21,31.61000061035156
2003-11-26,1.26,1.65,1.96,N/A,N/A,2003-11-24,29.739999771118164
2003-11-28,1.36,1.73,2.03,N/A,N/A,2003-11-25,29.770000457763672
2003-12-01,1.42,1.77,2.08,N/A,N/A,2003-11-26,30.40999984741211
2003-12-02,1.38,1.75,2.05,N/A,N/A,2003-12-01,29.950000762939453
2003-12-03,1.4,1.77,2.08,N/A,N/A,2003-12-02,30.780000686645508
2003-12-04,1.35,1.72,2.04,N/A,N/A,2003-12-03,31.100000381469727
2003-12-05,1.2,1.59,1.92,N/A,N/A,2003-12-04,31.26000022888184
2003-12-08,1.22,1.63,1.96,N/A,N/A,2003-12-05,30.729999542236328
2003-12-09,1.24,1.67,2.0,N/A,N/A,2003-12-08,32.099998474121094
2003-12-10,1.19,1.65,1.97,N/A,N/A,2003-12-09,31.76000022888184
2003-12-11,1.1,1.55,1.9,N/A,N/A,2003-12-10,31.8799991607666
2003-12-12,1.13,1.57,1.91,N/A,N/A,2003-12-11,31.850000381469727
2003-12-15,1.18,1.62,1.98,N/A,N/A,2003-12-12,33.040000915527344
2003-12-16,1.19,1.63,1.99,N/A,N/A,2003-12-15,33.18000030517578
2003-12-17,1.18,1.6,1.96,N/A,N/A,2003-12-16,32.88999938964844
2003-12-18,1.2,1.6,1.94,N/A,N/A,2003-12-17,33.349998474121094
2003-12-19,1.18,1.6,1.95,N/A,N/A,2003-12-18,33.709999084472656
2003-12-22,1.21,1.63,1.98,N/A,N/A,2003-12-19,33.02000045776367
2003-12-23,1.26,1.67,2.03,N/A,N/A,2003-12-22,31.8700008392334
2003-12-24,1.19,1.6,1.96,N/A,N/A,2003-12-23,31.950000762939453
2003-12-26,1.16,1.57,1.94,N/A,N/A,2003-12-24,32.86000061035156
2003-12-29,1.21,1.63,1.99,N/A,N/A,2003-12-29,32.400001525878906
2003-12-30,1.23,1.65,2.01,N/A,N/A,2003-12-30,32.790000915527344
2003-12-31,1.22,1.62,2.0,N/A,N/A,2003-12-31,32.52000045776367
2004-01-02,1.28,1.7,2.06,2.49,N/A,2004-01-05,33.779998779296875
2004-01-05,1.3,1.69,2.06,2.46,N/A,2004-01-06,33.70000076293945
2004-01-06,1.21,1.6,1.97,2.44,N/A,2004-01-07,33.619998931884766
2004-01-07,1.2,1.57,1.94,2.38,N/A,2004-01-08,33.97999954223633
2004-01-08,1.25,1.6,1.99,2.37,N/A,2004-01-09,34.310001373291016
2004-01-09,1.12,1.49,1.89,2.36,N/A,2004-01-12,34.720001220703125
2004-01-12,1.11,1.49,1.89,2.35,N/A,2004-01-13,34.43000030517578
2004-01-13,1.03,1.43,1.83,2.32,N/A,2004-01-14,34.5
2004-01-14,1.05,1.44,1.85,2.22,N/A,2004-01-15,33.439998626708984
2004-01-15,1.01,1.42,1.82,2.23,N/A,2004-01-16,35.06999969482422
2004-01-16,1.02,1.42,1.83,2.26,N/A,2004-01-20,36.20000076293945
2004-01-20,1.01,1.41,1.84,2.23,N/A,2004-01-21,34.58000183105469
2004-01-21,0.96,1.37,1.79,2.18,N/A,2004-01-22,34.93000030517578
2004-01-22,0.94,1.34,1.76,2.14,N/A,2004-01-23,34.939998626708984
2004-01-23,1.01,1.41,1.82,2.19,N/A,2004-01-26,34.470001220703125
2004-01-26,1.07,1.46,1.89,2.18,N/A,2004-01-27,34.119998931884766
2004-01-27,0.98,1.41,1.84,2.22,N/A,2004-01-28,33.619998931884766
2004-01-28,1.09,1.5,1.92,2.17,N/A,2004-01-29,32.810001373291016
2004-01-29,1.07,1.49,1.91,2.17,N/A,2004-01-30,33.04999923706055
2004-01-30,1.01,1.43,1.85,2.23,N/A,2004-02-02,34.97999954223633
2004-02-02,0.96,1.4,1.84,2.24,N/A,2004-02-03,34.099998474121094
2004-02-03,0.93,1.37,1.81,2.25,N/A,2004-02-04,33.099998474121094
2004-02-04,0.95,1.39,1.82,2.23,N/A,2004-02-05,33.08000183105469
2004-02-05,0.99,1.44,1.85,2.22,N/A,2004-02-06,32.47999954223633
2004-02-06,0.95,1.37,1.79,2.2,N/A,2004-02-09,32.83000183105469
2004-02-09,0.92,1.33,1.76,2.14,N/A,2004-02-10,33.869998931884766
2004-02-10,0.96,1.37,1.79,2.14,N/A,2004-02-11,34.0
2004-02-11,0.88,1.32,1.75,2.18,N/A,2004-02-12,33.97999954223633
2004-02-12,0.9,1.34,1.77,2.23,N/A,2004-02-13,34.560001373291016
2004-02-13,0.85,1.28,1.74,2.22,N/A,2004-02-17,35.15999984741211
2004-02-17,0.84,1.3,1.75,2.18,N/A,2004-02-18,35.45000076293945
2004-02-18,0.84,1.31,1.75,2.19,N/A,2004-02-19,36.0
2004-02-19,0.82,1.3,1.76,2.19,N/A,2004-02-20,35.599998474121094
2004-02-20,0.84,1.32,1.79,2.16,N/A,2004-02-23,34.349998474121094
2004-02-23,0.8,1.28,1.76,2.17,N/A,2004-02-24,34.58000183105469
2004-02-24,0.78,1.26,1.74,2.21,N/A,2004-02-25,35.68000030517578
2004-02-25,0.74,1.22,1.71,2.17,N/A,2004-02-26,35.5099983215332
2004-02-26,0.72,1.2,1.69,2.2,N/A,2004-02-27,36.15999984741211
2004-02-27,0.63,1.11,1.61,2.17,N/A,2004-03-01,36.86000061035156
2004-03-01,0.58,1.05,1.55,2.16,N/A,2004-03-02,36.65999984741211
2004-03-02,0.62,1.09,1.58,2.09,N/A,2004-03-03,35.79999923706055
2004-03-03,0.64,1.1,1.59,2.12,N/A,2004-03-04,36.63999938964844
2004-03-04,0.67,1.12,1.6,2.12,N/A,2004-03-05,37.2599983215332
2004-03-05,0.53,0.99,1.46,2.09,N/A,2004-03-08,36.56999969482422
2004-03-08,0.49,0.94,1.43,2.07,N/A,2004-03-09,36.27999877929688
2004-03-09,0.48,0.92,1.4,2.12,N/A,2004-03-10,36.09999847412109
2004-03-10,0.53,0.97,1.45,2.12,N/A,2004-03-11,36.77999877929688
2004-03-11,0.57,1.02,1.5,2.18,N/A,2004-03-12,36.18999862670898
2004-03-12,0.59,1.04,1.52,2.19,N/A,2004-03-15,37.43999862670898
2004-03-15,0.54,0.99,1.47,2.18,N/A,2004-03-16,37.47999954223633
2004-03-16,0.45,0.92,1.4,2.24,N/A,2004-03-17,38.18000030517578
2004-03-17,0.39,0.87,1.36,2.25,N/A,2004-03-18,37.93000030517578
2004-03-18,0.4,0.88,1.37,2.17,N/A,2004-03-19,38.08000183105469
2004-03-19,0.48,0.95,1.44,2.14,N/A,2004-03-22,37.11000061035156
2004-03-22,0.45,0.93,1.42,2.12,N/A,2004-03-23,37.45000076293945
2004-03-23,0.45,0.92,1.41,2.1,N/A,2004-03-24,37.0099983215332
2004-03-24,0.41,0.88,1.38,2.1,N/A,2004-03-25,35.5099983215332
2004-03-25,0.44,0.91,1.4,2.1,N/A,2004-03-26,35.72999954223633
2004-03-26,0.51,0.99,1.47,2.1,N/A,2004-03-29,35.45000076293945
2004-03-29,0.55,1.02,1.5,2.06,N/A,2004-03-30,36.25
2004-03-30,0.57,1.04,1.52,2.04,N/A,2004-03-31,35.7599983215332
2004-03-31,0.51,0.99,1.48,2.06,N/A,2004-04-01,34.27000045776367
2004-04-01,0.53,1.01,1.48,2.05,N/A,2004-04-02,34.38999938964844
2004-04-02,0.77,1.25,1.69,2.07,N/A,2004-04-05,34.380001068115234
2004-04-05,0.84,1.32,1.75,2.17,N/A,2004-04-06,34.970001220703125
2004-04-06,0.82,1.3,1.73,2.12,N/A,2004-04-07,36.150001525878906
2004-04-07,0.91,1.39,1.82,2.09,N/A,2004-04-08,37.13999938964844
2004-04-08,0.88,1.37,1.8,2.13,N/A,2004-04-12,37.84000015258789
2004-04-12,0.91,1.38,1.81,2.07,N/A,2004-04-13,37.209999084472656
2004-04-13,0.98,1.46,1.88,2.05,N/A,2004-04-14,36.720001220703125
2004-04-14,1.01,1.49,1.91,2.08,N/A,2004-04-15,37.56999969482422
2004-04-15,1.03,1.49,1.93,2.14,N/A,2004-04-16,37.7400016784668
2004-04-16,0.95,1.43,1.87,2.16,N/A,2004-04-19,37.41999816894531
2004-04-19,0.96,1.45,1.87,2.17,N/A,2004-04-20,37.59999847412109
2004-04-20,1.07,1.55,1.97,2.19,N/A,2004-04-21,35.72999954223633
2004-04-21,1.07,1.54,1.96,2.13,N/A,2004-04-22,36.709999084472656
2004-04-22,1.1,1.56,1.98,2.09,N/A,2004-04-23,36.459999084472656
2004-04-23,1.29,1.74,2.12,2.1,N/A,2004-04-26,36.970001220703125
2004-04-26,1.2,1.66,2.03,2.05,N/A,2004-04-27,37.52999877929688
2004-04-27,1.14,1.63,2.0,2.03,N/A,2004-04-28,37.459999084472656
2004-04-28,1.26,1.72,2.1,2.06,N/A,2004-04-29,37.310001373291016
2004-04-29,1.32,1.78,2.15,2.01,N/A,2004-04-30,37.380001068115234
